Group 0;Group 1;Group 2;Group 3;Group 4;Group 5;Group 6;Group 7;Group 8;Group 9;Group 10
1,870321;1,574221;1,988622;2,185477;3,429102;1,468368;2,088826;2,86493;2,613725;1,898061;1,94018
1,133086;1,324778;1,747277;2,263874;2,812272;2,283074;2,276354;3,002488;1,268271;1,967336;3,192635
2,071875;2,593393;2,543221;1,799485;2,802;2,862592;1,806124;2,725805;1,56857;2,667446;2,902973
1,871054;1,309432;2,569763;1,624128;2,606268;2,011537;1,60397;2,372965;1,774569;2,69996;3,363121
1,047856;1,442946;2,305742;1,751734;2,513222;2,856056;2,224619;2,048596;1,714394;2,977883;3,513301
1,119914;1,716485;2,838833;1,621739;3,343518;1,510585;1,433068;2,32108;1,717989;1,990844;1,562913
2,037517;1,734866;1,973931;1,679032;2,727951;2,509683;2,241931;2,107114;1,454421;1,911104;3,335166
1,936325;2,63245;3,213784;2,217661;2,049889;1,310913;3,219345;2,028496;1,50756;1,814404;2,911279
1,051017;1,902465;2,114146;1,277757;2,2339;3,078668;2,288005;2,21261;2,566597;1,97734;2,591841
1,030902;2,63245;2,532048;1,870151;2,82912;2,131414;1,80851;1,307217;1,625011;1,432364;1,487653
1,753522;1,930797;2,525495;2,043287;2,829376;2,798417;2,24843;2,17657;1,346575;2,379641;2,858675
1,923084;2,255603;2,079858;1,297391;3,114341;1,979929;1,535015;1,897698;1,899751;2,276762;1,755945
1,618656;1,302429;2,108986;1,200063;3,456215;2,242918;2,441214;1,862073;1,486068;1,457387;1,776683
1,14251;1,816268;2,53837;1,891492;2,347602;2,624172;1,769919;1,893227;1,931968;2,393404;2,820926
1,191012;1,203316;2,164955;2,881932;2,751713;3,093196;1,702441;1,998186;2,050867;1,695548;3,43929
1,105163;1,48064;2,576593;2,172829;2,066776;1,912541;2,263651;2,091768;1,914317;1,343782;1,905813
1,062776;1,201119;2,173476;2,037836;2,118807;1,745528;1,614088;1,8776;1,964394;1,28857;3,104419
1,45527;1,706785;2,170601;1,756671;2,697369;2,32997;2,563852;1,743029;1,673099;1,667706;1,437316
1,139633;1,59784;2,941175;1,951938;2,069216;2,797554;2,061191;2,217951;1,647492;2,061636;1,937917
2,542835;1,974658;1,11081;1,748022;2,675067;2,270405;1,912524;2,14429;1,045144;1,872057;2,941418
1,144049;1,940951;1,271145;1,714513;3,982698;2,123316;2,291519;1,729025;1,479672;1,304223;1,876926
1,127288;1,803831;1,656672;2,418558;2,004783;2,886675;1,938779;3,186989;1,496146;1,515837;2,536422
1,033977;2,301586;2,485184;2,274569;2,80769;2,761088;2,188935;1,912444;1,713312;1,65904;2,726954
1,105146;1,989741;2,179139;1,747752;2,554503;1,312201;2,200699;2,051652;1,224392;1,503749;2,389993
2,155413;2,126519;2,6568;1,721316;3,344286;2,175342;2,934848;1,462507;1,356021;1,679802;1,351175
1,139489;1,278766;1,286372;2,239771;2,255739;2,763444;1,895132;1,614196;1,254538;2,008077;1,858532
2,117329;1,30281;1,692703;2,016171;2,571012;2,757341;1,923709;1,44928;1,079149;2,192577;3,281419
1,088231;1,822966;2,364128;1,2279;2,813881;2,773021;2,31248;1,450594;1,759139;1,764574;2,78641
1,089867;1,320226;2,137313;1,492084;4,222331;1,949301;2,336947;1,943261;2,110003;1,874179;1,350427
2,125396;2,210126;1,865781;2,104571;2,887774;3,162488;1,559706;1,640461;1,858322;2,042515;3,78227
1,10153;1,601547;1,556164;2,217483;2,859814;3,184606;1,869501;1,897709;1,933159;1,623377;3,691433
1,103172;1,430904;3,156929;2,193556;3,212253;1,480292;1,954815;1,631241;1,879987;1,48587;3,375961
1,069248;1,851836;3,312235;2,210619;2,774831;3,389029;2,010957;1,52264;2,245792;1,718551;2,473862
1,852561;1,727413;2,05048;2,109448;2,745992;2,544466;2,110771;2,121981;1,930938;1,633304;1,832356
1,389344;1,778692;1,596679;1,477796;1,761122;2,797717;2,454115;1,404686;1,466467;1,087439;3,172191
1,311891;1,753143;1,61928;1,601249;2,94881;3,201865;2,006505;1,404329;2,281292;2,431507;1,461579
1,951576;1,542588;1,768669;1,326326;2,177125;2,812858;2,948262;2,350013;1,82633;3,866829;2,325256
1,147451;2,872235;1,738074;2,279703;1,811576;1,772928;1,826284;2,848886;1,92108;1,52001;2,258381
1,161744;1,815884;1,955698;2,657999;2,249048;1,723801;2,618459;2,190012;2,522907;1,844945;3,08516
1,039156;2,033747;2,396967;2,974485;3,654156;3,345832;3,51722;1,592097;1,669846;1,606057;1,847875
1,254993;1,789585;1,370474;1,738322;2,711412;2,633345;1,665673;1,726042;1,991672;1,795492;1,97132
1,124722;1,736389;1,993276;2,158725;3,07025;2,640114;2,316115;2,370074;1,666796;1,745206;2,143341
;1,6963;2,003644;1,965374;3,21296;1,989616;3,122745;1,602916;1,867511;1,777153;
;1,76847;1,35625;1,939549;;3,194725;1,781614;1,626929;2,352269;1,902139;
;1,62912;1,090646;2,064892;;1,336095;1,810044;1,651535;;;
;;1,655627;1,386076;;2,52045;1,819527;1,986981;;;
;;2,369554;;;;;;;;
;;1,523485;;;;;;;;
