Group 0;Group 1;Group 2;Group 3;Group 4;Group 5;Group 6;Group 7;Group 8;Group 9;Group 10
200,4484;281,799;278,7134;278,8909;219,9113;358,7742;264,5902;224,4618;230,0736;281,9515;282,0383
196,3001;265,9853;293,0705;257,2834;238,1588;262,5613;217,9666;204,818;269,3937;352,815;215,9219
191,9415;231,5508;267,9769;261,0981;227,186;234,8958;264,5054;217,0782;245,2004;255,6365;212,6247
209,0196;320,6481;235,669;277,2616;236,4293;284,4239;245,1696;236,7825;233,3395;228,4936;196,9134
242,7732;310,9063;269,9773;271,8985;253,7161;238,9838;226,9226;257,4026;235,0175;214,2562;189,0978
167,2888;361,3922;228,088;294,77;226,4047;296,8435;272,3309;227,7572;239,501;283,6448;277,1329
250,4849;265,0374;282,6961;272,2674;264,7966;252,92;223,1421;256,6859;252,5842;258,2094;195,1742
268,1971;232,8419;238,0049;285,0454;271,6177;368,4654;202,5038;214,0867;293,2625;242,015;214,479
159,4265;232,4209;290,6673;319,9025;264,22;227,276;247,4899;222,2146;226,7244;234,8431;234,3222
164,3604;232,8419;243,3074;271,1413;236,379;241,2363;249,1246;271,6376;234,7975;287,723;290,3522
202,2462;293,5086;238,5881;248,8388;235,1823;220,6043;219,4215;221,0202;283,5631;222,3002;214,468
223,8953;207,6358;258,5086;313,7349;228,6403;328,7383;277,1957;250,0671;218,4891;263,2367;339,8573
305,1383;277,7627;275,1474;329,575;222,2344;231,5684;209,7837;243,5064;238,8837;299,6238;304,5621
147,6116;230,3293;243,27;252,1414;280,8551;225,8675;246,2711;275,4162;260,5014;205,425;229,7393
128,3819;332,1801;256,6723;239,9082;240,6345;207,3263;248,1009;256,6214;224,2767;260,7566;204,7923
144,458;275,7344;248,6688;264,9918;261,4739;307,9953;260,5555;226,0801;272,4705;270,913;260,1588
118,4151;266,7953;272,5951;249,6395;259,2065;333,6373;368,4231;239,9417;266,5631;284,656;199,0685
210,4297;222,9405;304,5959;274,1611;239,7367;240,2115;215,3444;238,8004;243,7535;276,1924;305,5641
232,1657;258,127;228,2642;259,1914;277,8851;220,11;235,7903;213,4822;252,8559;228,7805;318,0574
182,9913;222,2534;345,7776;271,373;230,0089;240,8116;233,0365;214,2931;290,8483;336,923;231,4253
141,4924;225,658;319,2919;293,5849;208,9699;237,3685;207,4327;244,6802;249,7365;316,8205;266,3027
168,8991;252,7596;288,4518;234,6597;301,625;219,9288;236,8929;201,3446;307,2551;263,9638;270,5
183,2181;245,2843;238,9245;279,0279;241,0921;214,8533;230,1984;230,0314;236,3919;253,1888;211,7767
169,0109;274,5279;285,0022;315,4061;227,1512;336,5924;244,0341;217,7623;330,5335;256,0933;246,221
229,155;221,0722;264,6093;293,3324;216,7484;269,9216;229,1828;289,582;303,5716;256,7564;286,7538
119,0425;292,4452;340,7261;252,7034;263,6559;214,136;268,4808;254,2033;274,886;223,6672;289,5014
197,4628;268,8935;311,5079;239,6514;260,0575;219,7288;243,4028;267,0072;281,6371;216,0023;203,5609
146,8361;228,114;255,9618;326,9362;231,1595;207,7146;216,0374;272,302;231,4328;285,283;198,0671
174,3125;336,2298;252,3571;326,3822;202,9563;332,5852;218,0526;228,9266;265,699;285,7419;107,9439
234,2766;212,817;271,6166;245,3713;229,078;199,4462;270,5037;292,656;288,2165;235,3772;193,447
241,7698;333,9923;333,4562;267,9987;242,5941;220,7923;254,1773;272,8411;252,3831;250,0297;183,8728
147,9153;249,118;239,4399;274,0108;218,7078;357,819;281,0017;245,304;222,4366;258,6388;192,5762
163,6897;233,3704;230,7018;257,7651;242,3558;193,2705;290,9171;271,1102;236,7539;246,0045;226,6218
247,4217;250,9321;252,2171;267,0933;229,9141;205,9858;240,3697;217,1408;235,9915;254,8525;305,9926
291,3212;233,9134;307,2443;326,3527;284,111;213,9261;229,0461;270,8074;262,6122;330,923;205,3257
230,4382;240,3719;286,7247;289,3119;258,9117;199,7369;229,3312;268,2261;223,088;236,1103;355,2998
271,1293;211,7325;283,2051;356,7957;302,2111;231,4899;197,2228;204,5047;276,4567;195,0157;262,5101
262,0745;214,0613;295,7861;301,8689;299,2722;357,226;254,195;212,6431;271,9494;264,1599;249,8559
181,6153;249,4072;231,2792;257,7316;282,1075;341,5793;216,9443;233,9346;251,0335;246,7964;217,4003
180,5927;203,6822;267,6457;222,7849;222,558;195,9368;214,3167;253,2987;272,8408;267,0297;300,0021
130,5792;248,728;395,8806;334,7793;273,2105;218,907;354,8433;251,8402;269,0307;243,1788;271,2627
165,0838;271,6641;282,4143;280,0645;237,4932;225,5204;255,6061;207,1837;289,718;254,1852;303,3552
;248,8456;277,6676;288,489;240,2833;248,3041;215,3945;253,1513;279,9046;253,5789;
;239,1631;308,5405;279,5025;;208,3491;299,4073;269,5963;282,9055;283,6872;
;269,4897;324,7655;268,4448;;97,55663;293,996;254,7038;;;
;;279,8267;331,9586;;253,4395;323,5216;278,6247;;;
;;246,5381;;;;;;;;
;;300,8657;;;;;;;;
