Group 0;Group 1;Group 2;Group 3;Group 4;Group 5;Group 6;Group 7;Group 8;Group 9;Group 10
1,489;1,156708;1,157936;1,410132;1,107137;1,306122;1,420996;1,242665;1,432304;1,201527;1,507302
1,957454;1,090849;1,224849;1,470547;1,196665;1,368157;1,16721;1,280042;1,260148;1,139348;1,539962
1,492207;1,433642;1,122009;1,364618;1,530021;1,111949;1,28159;1,54101;1,104633;1,156671;1,52152
1,468196;1,596725;1,201628;1,316847;1,196732;1,062132;1,283117;1,251873;1,34776;1,48919;1,244623
1,912977;1,760187;1,454316;1,33408;1,257493;1,315986;1,254032;1,296985;1,352053;1,468582;1,255062
1,26023;1,488919;1,181377;1,529918;1,07649;1,104362;1,703047;1,368828;1,361568;1,327949;1,299304
1,449316;1,063935;1,718425;1,095341;1,079778;1,051587;1,393977;1,255859;1,332097;1,351731;1,126568
1,425365;1,694321;1,120028;1,391532;1,18313;1,35152;1,454261;1,119917;1,136248;1,194425;1,234326
1,226525;1,478756;1,266155;1,603646;1,177812;1,435004;1,127441;1,284443;1,121293;1,11268;1,519691
1,28655;1,780154;1,052298;1,167772;1,138356;1,176667;1,162985;1,17989;1,508302;1,359262;1,284186
1,343046;1,09386;1,050012;1,294548;1,249421;1,123541;1,242771;1,311301;1,386676;1,193969;1,482617
1,45351;1,235162;1,227713;1,125439;1,138602;1,15737;1,383649;1,342915;1,239297;1,214401;1,183587
1,440373;1,324696;1,316432;1,356822;1,092176;1,449049;1,096956;1,129186;1,288258;1,178421;1,297021
1,175127;1,616748;1,208745;1,139996;1,126323;1,467214;1,186093;1,563629;1,22074;1,247101;1,64492
1,470203;1,171633;1,13116;1,103111;1,476101;1,311637;1,25895;1,415402;1,194953;1,207703;1,296589
1,976138;1,775946;1,252553;1,302159;1,104803;1,472727;1,291867;1,251485;1,332806;1,296781;1,243157
1,147532;1,350493;1,391647;1,12167;1,343114;1,199856;1,176261;1,33449;1,203857;1,233329;1,45626
1,355354;1,518487;1,361353;1,516638;1,212938;1,194112;1,441709;1,360377;1,383324;1,398775;1,181213
1,63469;1,239483;1,30479;1,236945;1,136763;1,200708;1,455031;1,597669;1,394216;1,452243;1,233494
1,596881;1,425045;1,252294;1,29446;1,14387;1,170058;1,174579;1,321773;1,042574;1,675323;1,446611
1,335101;1,600216;1,127914;1,235477;1,270097;1,379609;1,109618;1,315511;1,380144;1,104496;1,271359
1,749016;1,757849;1,215519;1,311476;1,12017;1,184211;1,34248;1,63839;1,522826;1,12958;1,219604
1,924168;1,485226;1,060379;1,407055;1,435626;1,226936;1,438924;1,172112;1,279776;1,367037;1,473896
1,183577;1,625456;1,251507;1,178092;1,111347;1,273679;1,297791;1,254842;1,503599;1,493009;1,284299
1,311137;1,471776;1,212354;1,499357;1,18453;1,455959;1,179086;1,140581;1,041921;1,159124;1,300618
2,059324;1,374652;1,336781;1,367513;1,456758;1,41992;1,43119;1,083712;1,107633;1,177481;1,365468
2,166197;1,687057;1,093167;1,523004;1,288091;1,738228;1,134023;1,275913;1,283403;1,305109;1,134709
1,628699;1,504667;1,444239;1,129153;1,114149;1,740203;1,589867;1,346455;1,214981;1,358701;1,544783
1,628365;1,517465;1,313013;1,341073;1,134655;1,101034;1,29688;1,432787;1,466191;1,17587;1,129202
2,358514;1,616916;1,083017;1,40057;1,195118;1,430078;1,12655;1,181511;1,478793;1,209903;1,877693
1,580202;1,228152;1,32453;1,139435;1,355385;1,361009;1,254981;1,30389;1,477129;1,280443;1,299382
1,812779;2,182538;1,300466;1,290133;1,184095;1,536959;1,419877;1,408271;1,439022;1,167597;1,277283
1,171148;1,459788;1,149452;1,283005;1,117918;1,447399;1,168573;1,743398;1,359721;1,165838;1,312217
1,500848;1,339256;1,033586;1,137129;1,099183;1,562686;1,673728;1,077819;1,078585;1,197122;1,493251
2,034758;1,238451;1,323079;1,084404;1,37333;1,007961;1,512446;1,30341;1,353143;1,179844;1,311686
1,787423;1,427391;1,420553;1,145931;1,081261;1,686932;1,172723;1,378563;1,117406;1,269754;1,261271
1,372458;1,511886;1,36439;1,06549;1,09718;1,206172;1,17588;1,297118;1,154897;1,440187;1,295939
1,188908;1,513418;1,108745;1,321358;1,109247;1,606567;1,312787;1,260818;1,277129;1,20492;1,315473
1,374625;1,386196;1,129518;1,398712;1,205424;1,285479;1,218802;1,386293;1,322108;1,292975;1,355806
1,298359;;1,171648;1,424346;1,09532;1,293103;1,229543;1,149328;1,539168;1,29094;1,490655
1,464234;;1,268186;1,083561;;1,760506;1,259574;1,479456;1,255428;1,170052;1,381139
1,29067;;1,386741;1,257996;;1,310369;1,382696;1,123177;1,130785;1,260523;1,705336
1,349466;;1,471954;1,09456;;1,374047;1,192555;1,333356;1,403036;1,337344;1,46432
1,21493;;1,149322;1,985746;;1,599089;1,17307;1,427621;1,546557;1,275532;1,58653
1,889955;;1,26245;;;1,913998;1,380776;1,352471;;1,415235;1,454729
1,386797;;1,135394;;;1,196535;1,221508;1,263054;;1,502614;1,424859
1,356518;;1,493469;;;;1,220761;1,209766;;1,091626;
;;;;;;1,343233;1,304313;;1,63547;
