Group 0;Group 1;Group 2;Group 3;Group 4;Group 5;Group 6;Group 7;Group 8;Group 9;Group 10
481,6393;539,9532;516,4295;536,5529;484,4384;513,9106;546,3365;499,1411;527,1332;505,5481;496,2904
765,1796;476,0495;509,6076;597,8674;494,6597;482,9821;440,2852;475,3869;456,3866;473,2896;468,3963
470,0727;547,2646;500,1944;568,4484;557,8491;423,317;477,3918;567,1632;385,7004;479,4761;491,9313
553,6559;680,583;524,1843;519,9555;517,7948;452,7759;482,5094;483,8835;473,7975;533,4246;427,7514
606,4918;636,1493;638,9791;529,1973;520,4233;493,0609;467,4548;502,9815;494,3014;523,2737;421,6008
519,7465;552,0923;535,9722;556,1841;506,0832;449,1227;569,6816;483,808;467,4827;519,463;446,8748
498,9986;493,0243;530,5782;460,5482;500,7054;456,6979;519,525;505,7114;476,8287;510,8327;439,0485
541,2517;609,7347;532,585;609,877;513,6132;466,2651;560,5996;466,8996;445,3114;497,503;489,5328
488,6214;558,1151;522,074;625,0737;505,4173;530,1686;484,863;501,0045;484,4041;455,9781;522,4259
482,6321;632,297;451,3788;473,2836;436,8916;464,212;443,8663;456,7643;512,5223;512,7776;445,7284
559,2965;505,7434;461,2744;514,0437;482,6065;437,4392;466,106;481,1626;486,9386;444,2632;473,4979
554,752;570,7124;551,8009;503,3468;510,8612;426,1675;514,5327;510,961;443,1878;448,6349;419,5943
508,7217;530,9382;485,9025;501,836;499,5959;500,1147;443,7132;456,7621;481,8402;471,604;448,39
352,1784;567,7399;538,8816;478,0869;536,048;506,858;456,6211;548,7064;484,3083;484,4887;616,4656
528,3481;526,1692;512,2413;481,6408;580,5443;479,6732;475,9431;515,8899;470,2807;448,2052;454,1456
670,4069;633,5146;545,2539;547,6213;489,9106;587,3918;486,9463;492,7841;482,4891;511,9492;453,3698
461,036;534,5738;550,7896;508,4722;523,7546;469,5241;456,2128;482,3143;453,7449;454,1423;472,1453
490,1081;650,1551;611,0813;592,0554;522,966;450,1071;534,3017;485,5424;477,699;494,5821;408,532
568,5256;496,0381;552,6559;505,7383;472,7949;433,0227;508,6206;527,6793;511,2574;499,7377;412,5857
590,5982;544,3897;473,6034;542,1458;480,2887;435,969;451,6014;455,9643;446,0166;573,6296;474,5655
514,726;557,3995;479,6859;470,1454;550,0744;493,1637;438,1197;450,0333;492,6156;433,0191;425,4644
617,7545;589,132;496,8246;547,9817;508,0807;463,5553;486,0958;290,3907;525,8141;438,9169;445,9973
615,5852;570,9624;483,7641;581,9164;566,0339;501,1302;514,6507;450,1506;495,1331;468,3492;512,1023
435,1955;603,7726;556,1145;548,2932;481,8762;465,3228;485,4125;471,3533;524,7603;540,1801;452,2159
545,2993;557,6922;574,588;562,4725;502,6336;116,9042;446,5048;448,9482;415,7126;496,2277;427,6701
706,4149;581,7419;525,83;563,7988;531,4188;486,7948;517,1567;422,3061;428,9542;452,2036;462,2577
729,6204;626,2222;467,4591;601,8023;518,0579;550,0708;433,1412;462,755;472,4588;479,2037;405,1371
559,334;604,1948;555,0653;463,5485;529,0667;730,5672;557,7048;497,1096;476,9579;485,5303;475,4398
557,1475;599,3109;501,6394;513,6809;528,788;455,8308;505,991;497,0916;514,2499;459,0941;432,122
709,328;605,9518;478,1672;560,2013;495,1572;518,1954;465,4535;430,1394;532,8576;462,1635;595,8779
510,9462;503,423;498,9512;495,7158;524,8435;520,9131;472,8714;482,669;524,1034;466,1156;481,7399
542,3152;759,0787;509,9471;517,6447;499,3608;513,1405;560,1763;542,242;513,6454;432,8326;460,0995
473,7696;602,1912;470,3395;520,4129;507,3299;521,6361;458,869;602,9617;491,7224;466,0883;451,8571
463,4196;539,4994;479,0056;502,8171;505,9298;489,347;583,9846;401,5867;432,3904;467,618;482,651
635,9182;512,7662;506,8596;436,6351;555,381;402,9917;503,0497;482,1177;483,2379;462,0743;463,0337
630,644;538,6646;552,3067;498,9587;505,4947;546,5079;465,416;461,4229;425,7126;469,3603;438,9921
473,1094;551,6867;577,9491;481,0134;507,8011;442,0652;487,4414;472,1576;431,0158;528,9758;442,4157
445,9161;566,8262;450,6454;550,057;525,72;530,8318;496,2507;455,3505;498,9185;449,0433;514,2867
529,963;556,0973;539,96;586,0265;539,603;529,9671;475,4985;471,4661;509,9401;480,599;511,222
471,0882;;507,115;90,20622;519,4294;449,3026;499,0179;461,5226;561,2822;490,9687;526,0858
471,8938;;510,5483;505,8805;;542,1561;507,0356;522,3435;489,057;465,4132;497,3735
442,4912;;469,2671;566,5964;;485,2744;486,0216;413,1765;461,8555;462,2537;555,6703
533,5142;;534,2147;463,8583;;480,031;478,0856;469,1062;509,8224;496,4368;523,7954
475,6335;;464,016;263,7026;;490,2862;503,1943;487,4722;564,7242;467,649;528,6407
613,9128;;495,2523;;;549,3526;523,8108;460,1259;;509,3053;515,9813
518,3839;;479,9025;;;489,8564;470,0258;475,584;;523,1542;491,0628
501,0406;;583,3346;;;;489,883;442,1603;;431,9815;
;;;;;;524,8128;481,26;;524,2985;
