Group 0;Group 1;Group 2;Group 3;Group 4;Group 5;Group 6;Group 7;Group 8;Group 9;Group 10
323,4649;466,8018;445,9915;380,4985;437,5594;393,4631;384,4743;401,6699;368,0316;420,7545;329,2574
390,9055;436,4026;416,0576;406,5612;413,3651;353,0166;377,2116;371,3837;362,1691;415,4037;304,1609
315,0185;381,7304;445,8023;416,5623;364,6023;380,6981;372,4996;368,0464;349,1661;414,5311;323,3157
377,0994;426,2369;436,2286;394,8488;432,6738;426,2897;376,0446;386,5277;351,5444;358,1978;343,6795
317,0409;361,4101;439,3676;396,6759;413,8578;374,6704;372,7614;387,8082;365,5932;356,3123;335,9204
412,422;370,8007;453,6843;363,5385;470,1233;406,6805;334,5072;353,4469;343,3415;391,1771;343,9339
344,2993;463,397;308,7584;420,4609;463,7114;434,294;372,6927;402,6815;357,9535;377,9101;389,722
379,7286;359,8696;475,5103;438,2775;434,1139;344,993;385,4876;416,9053;391,914;416,521;396,5994
398,3788;377,4221;412,3303;389,7828;429,1153;369,4545;430,0562;390,0558;432,0049;409,8015;343,7711
375,1367;355,1923;428,9457;405,2875;383,7916;394,5145;381,6613;387,1244;339,8008;377,247;347,0902
416,4388;462,3475;439,3039;397,0836;386,2642;389,3396;375,0538;366,9353;351,1552;372,0893;319,3663
381,6637;462,0546;449,4542;447,245;448,6742;368,2205;371,8665;380,4863;357,6121;369,4289;354,5108
353,1874;400,7999;369,1055;369,8614;457,4317;345,1331;404,4949;404,5058;374,0245;400,1998;345,7075
299,694;351,1617;445,8189;419,3759;475,9273;345,4561;384,9793;350,9185;396,7332;388,4918;374,7694
359,3709;449,0905;452,8459;436,6205;393,2957;365,7059;378,0476;364,483;393,5557;371,1221;350,2618
339,251;356,7196;435,314;420,5489;443,4372;398,8465;376,9323;393,7597;362,0101;394,7847;364,6923
401,7632;395,836;395,7826;453,3173;389,9555;391,3171;387,8502;361,4222;376,9094;368,2249;324,2177
361,609;428,1598;448,8778;390,3735;431,1562;376,9387;370,603;356,9175;345,327;353,5824;345,858
347,7879;400,1975;423,5592;408,8606;415,9134;360,6393;349,56;330,2807;366,6989;344,1143;334,4854
369,8449;382,0158;378,1887;418,82;419,8804;372,6045;384,4793;344,9641;427,8031;342,3995;328,0533
385,5335;348,3278;425,2859;380,5375;433,0965;357,4663;394,8384;342,0977;356,9305;392,0515;334,6533
353,2011;335,1437;408,7346;417,8358;453,5747;391,4466;362,0879;177,2415;345,2885;388,5665;365,6902
319,9228;384,4279;456,2179;413,5705;394,2766;408,4405;357,6636;384,0508;386,8905;342,6017;347,448
367,6951;371,4482;444,3558;465,4079;433,5964;365,3377;374,0297;375,6276;349,0029;361,8063;352,1112
415,898;378,9246;473,9439;375,1425;424,3317;80,29363;378,6871;393,6137;398,9868;428,1057;328,8207
343,0325;423,1921;393,3553;412,2803;364,7955;342,8326;361,3472;389,6849;387,2712;384,0432;338,5344
336,8209;371,1922;427,6191;395,1417;402,1905;316,4549;381,951;362,6854;368,1298;367,1751;357,0405
343,4238;401,5473;384,3307;410,5276;474,8618;419,8172;350,7871;369,1988;392,5641;357,349;307,7712
342,1515;394,9421;382,0521;383,0371;466,0342;414,0023;390,1603;346,9403;350,7387;390,4294;382,679
300,7521;374,7577;441,5141;399,9808;414,3164;362,3548;413,1671;364,0587;360,3328;381,9839;317,3458
323,3425;409,9029;376,7006;435,0541;387,2283;382,7403;376,7956;370,1763;354,8121;364,0267;370,7453
299,1623;347,7964;392,1263;401,2335;421,7237;333,8673;394,5244;385,0408;356,9405;370,7039;360,2173
404,5343;412,5198;409,1858;405,6204;453,8168;360,3954;392,6745;345,8543;361,6347;399,788;344,3463
308,7719;402,835;463,4404;442,1811;460,278;313,1448;348,9125;372,5919;400,8867;390,6183;323,2217
312,5277;414,0384;383,0911;402,6498;404,4046;399,8087;332,6066;369,8894;357,1226;391,6402;353,0064
352,8231;377,3771;388,7971;435,4178;467,5049;323,9656;396,8679;334,713;380,983;369,6467;348,0553
344,7169;364,8998;423,5952;451,448;462,8238;366,5027;414,5332;364,0051;373,2071;367,2967;341,3863
375,0637;374,5339;406,4463;416,2817;473,9433;330,4137;378,0129;361,1548;390,6564;372,6749;390,9517
385,5328;401,1678;478,0448;418,9757;447,6459;412,2721;390,136;340,0913;385,7023;371,7003;377,0613
362,8336;;432,822;63,3317;474,2263;347,4609;405,8564;401,5586;364,6661;380,3188;352,9225
322,2803;;402,5815;466,8684;;307,9546;402,5454;353,0645;389,5539;397,7712;360,1185
342,8383;;338,3956;450,3962;;370,334;351,5029;367,864;408,438;366,7157;325,8422
395,3522;;362,9289;423,7852;;349,3555;400,8919;351,8237;363,3708;371,2109;357,7055
391,4905;;403,7303;132,7977;;306,6035;428,9551;341,4577;365,1494;366,6306;333,2057
324,8293;;392,2947;;;287,0183;379,3598;340,2113;;359,8734;354,6924
373,7994;;422,6749;;;409,3958;384,7914;376,535;;348,1628;344,6396
369,3578;;390,5904;;;;401,2932;365,4925;;395,7229;
;;;;;;390,7086;368,9758;;320,5798;
