hub 2i;hub serum;triple 2i;triple serum
2,296636;1,105894;1,330697;1,686145
2,11255;2,17505;1,60523;1,086952
1,472093;1,132298;1,283303;1,029565
2,141759;1,383741;1,66438;1,112884
1,762697;1,77882;1,252089;1,061742
2,071414;1,063517;1,322863;1,326996
1,352717;1,08678;1,384285;1,143985
2,49184;2,183775;1,546327;1,353409
2,360752;2,193703;1,25845;1,199086
2,585914;1,660375;1,425896;1,241516
1,703571;1,024788;1,304391;1,235557
1,768388;1,775059;1,385597;1,155267
1,628782;2,295508;1,358403;1,531237
2,952349;1,288279;1,423881;1,363486
2,568823;2,607904;1,450784;1,233246
1,797082;2,157698;1,320002;1,152795
2,579387;2,255779;1,557205;1,173826
1,276457;2,001183;1,280933;1,205159
2,031242;1,038073;1,560598;1,486325
2,186797;1,708868;1,135177;1,306473
1,889031;1,898764;1,428758;1,453899
1,184449;1,88714;1,456571;1,226182
1,295743;2,10198;1,239699;1,283068
3,166559;2,19647;1,3525;1,416421
1,134034;1,990572;1,562187;1,519252
3,064277;1,692933;1,385954;1,133384
1,582252;1,687265;1,518872;2,201133
1,979337;1,178345;1,36883;1,655351
1,36783;1,434958;1,47697;1,31441
2,79444;1,268626;1,384891;1,193164
2,005058;1,157429;1,55793;1,636851
1,466898;1,12213;1,213691;1,160881
1,722699;1,069894;1,73354;1,04698
1,223723;1,508429;1,249672;1,391949
1,679865;1,938472;1,434336;1,417996
1,994933;1,383613;1,561746;1,136791
1,940821;1,427274;1,307691;1,375503
1,813761;1,081753;1,493592;1,380762
2,821251;1,041103;1,649432;1,327255
2,370925;1,060676;1,153435;1,474407
2,528303;2,060449;1,509804;1,260436
1,897844;;1,82821;1,311502
2,798237;;1,366608;1,038217
;;1,428878;1,177966
;;;1,056317
;;;1,209492
;;;1,348617
