hub 2i;hub serum;triple 2i;triple serum
513,6379;354,1935;481,5948;605,2988
472,4055;624,9927;548,3586;499,4102
374,5491;315,6467;555,2397;527,9781
498,0299;437,094;592,489;515,3192
476,9353;485,26;498,2285;544,1869
553,7218;279,7689;483,5611;607,0038
473,4874;335,0959;545,4629;468,8047
571,1605;619,1095;543,7408;601,6986
512,8844;597,6454;501,0279;569,5824
598,499;505,5405;511,6328;605,9704
448,0336;332,0829;495,7448;560,0386
433,2703;522,0494;507,4119;547,1389
440,8061;622,266;472,1358;669,6561
609,5408;455,2126;514,5253;628,6077
526,2084;667,4785;480,8597;604,128
442,373;645,2812;493,5496;571,1594
559,5789;681,9685;511,375;539,2086
391,6767;539,1165;497,4692;545,545
514,4254;338,4135;511,0521;579,8656
524,0827;503,1762;439,8247;587,5166
476,7918;574,2687;481,1182;564,0753
409,7085;572,1524;544,951;551,5149
402,1681;568,9857;525,2589;583,3133
671,6537;648,2229;498,7885;573,2227
336,3487;549,3465;508,6639;588,4156
660,0863;494,599;481,7188;531,3986
428,4433;529,5148;517,5086;744,47
460,6816;451,031;495,6579;647,1993
423,6244;450,8713;545,2037;602,1149
637,6365;389,7553;522,9484;559,0033
489,197;345,8209;505,0003;669,9685
463,8083;289,295;478,5099;552,6598
430,6343;330,6499;520,6254;505,4404
386,2932;479,963;477,9977;594,6487
429,117;557,2041;511,8578;575,2302
495,1786;433,1626;500,1354;601,6722
493,2016;406,7541;535,1106;587,2851
506,3177;355,3525;554,9943;661,8461
633,6787;303,3308;559,4333;605,9132
565,0382;185,5569;474,2069;596,1744
591,3684;629,2775;524,9337;555,6467
515,1438;;567,1381;546,1895
596,7115;;474,6348;515,7673
;;524,4189;611,7159
;;;543,4428
;;;540,3151
;;;573,1008
