hub 2i;hub serum;triple 2i;triple serum
223,648;320,2779;361,9118;358,9838
223,6186;287,3464;341,6074;459,4593
254,433;278,7664;432,6646;512,8169
232,5331;315,8784;355,9819;463,0483
270,5714;272,7989;397,9178;512,5416
267,3159;263,0602;365,5415;457,4269
350,027;308,3384;394,0393;409,7997
229,2123;283,5042;351,6337;444,5799
217,2546;272,4368;398,131;475,0137
231,4458;304,4737;358,815;488,0891
262,9967;324,0502;380,0584;453,2682
245,0086;294,1025;366,2045;473,6038
270,6354;271,0799;347,5669;437,3303
206,4596;353,3493;361,354;461,0297
204,8442;255,9444;331,4482;489,8682
246,1618;299,06;373,9007;495,4562
216,9426;302,3206;328,3928;459,3598
306,8467;269,3989;388,3647;452,6745
253,2566;326,0018;327,472;390,1337
239,6577;294,45;387,4505;449,6966
252,4002;302,4435;336,7388;387,9742
345,9063;303,185;374,1328;449,7821
310,3764;270,6903;423,6987;454,624
212,1084;295,1203;368,79;404,6981
296,5949;275,9742;325,61;387,3063
215,4134;292,1551;347,572;468,86
270,7807;313,8303;340,719;338,2214
232,7454;382,7667;362,1033;390,9741
309,7055;314,2053;369,1365;458,0877
228,1804;307,2263;377,6099;468,505
243,9814;298,7838;324,1482;409,3032
316,183;257,8088;394,2601;476,0694
249,9766;309,0491;300,325;482,7605
315,6704;318,1873;382,4984;427,2059
255,4474;287,445;356,8604;405,6642
248,2181;313,0664;320,2412;529,2723
254,1201;284,9866;409,2027;426,9602
279,1534;328,4969;371,5836;479,3338
224,6091;291,3553;339,1673;456,516
238,3198;174,9421;411,1258;404,3485
233,8993;305,408;347,6835;440,837
271,4364;;310,215;416,461
213,2455;;347,3088;496,7817
;;367,0144;519,2984
;;;514,4694
;;;446,729
;;;424,9544
